PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,YEAR,SAMPLE_TYPE,SAM_CODE,SAMPLE_CAT,AL,AL_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,K,K_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,NH4,NH4_ALERT,NO2,NO2_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT,CHEM_COM,HUC_8,XLAT_DD,XLON_DD,AGGR_ECO9_2015
17-Feb-15,10897,FW08NV026,5-Jun-08,1,2008,CHEMW,REGULAR,P,0.0003,S,2761.08,S,28.07,S,21.29,S,21.0,HS,388.8,HS,5.12,S,8.902000000000001,S,5.547999999999999,HS,45.47,S,0.015,RS,0.00158,RS,0.13965,S,,,913.0,S,8.23,HS,308.615,S,42.34,S,27.43,S,124.4,S,123.0,HS,,16040109,41.39686,-117.46416,['XER']
17-Feb-15,10898,FW08NV028,17-Jun-08,1,2008,CHEMW,REGULAR,P,0.0026,,1301.18,,9.666,,5.99,,11.0,,156.9,,2.49,H,3.853,,4.266,,13.52,,0.005,R,0.0,R,0.00124,R,,,251.0,,8.26,,103.0988,,45.901,,7.22,,14.2,,8.06,,,16040202,41.40885,-118.9109,['XER']
17-Feb-15,10899,FW08NV029,11-Jun-08,1,2008,CHEMW,REGULAR,P,0.0101,,313.43,H,4.613,,0.39,,3.0,R,38.83,,0.8,,0.301,,0.759,,1.147,,0.005,R,0.0,R,0.06962,,,,185.0,H,7.46,H,36.4075,H,7.0329999999999995,,1.69,,4.2,,3.34,,,16060008,39.21448,-114.54146999999999,['XER']
17-Feb-15,10900,FW08NV031,18-Jun-08,1,2008,CHEMW,REGULAR,P,0.0003,,6004.6,,114.2,,528.04,H,23.0,,3291.0,,13.52,H,27.01,,54.85,,527.3,H,0.03,,0.0,R,0.0,R,,,1120.0,,8.41,H,88.44,,27.006999999999998,,647.8,H,7.6,,6.97,,NO FLOW,16040101,40.81469,-115.80628,['XER']
17-Feb-15,10901,FW08NV032,10-Jun-08,1,2008,CHEMW,REGULAR,P,0.0025,,4584.44,H,97.22,,103.28,H,5.0,,1465.0,,0.92,,15.32,,45.68,,153.5,,0.004,R,0.0,R,0.2079,,,,280.0,,8.39,H,14.5688,,33.046,,395.52,H,50.2,,29.6,,,15010012,36.64136,-114.53002,['XER']
17-Feb-15,10918,FW08NV033,11-Jun-08,1,2008,CHEMW,REGULAR,P,0.0003,S,4949.23,HS,51.06,S,8.32,HS,5.0,HS,554.8,HS,0.67,S,8.004,S,23.43,S,33.0,S,0.001,RS,0.0,RS,0.0,HRS,,,168.0,HS,8.51,HS,34.2513,HS,31.366,S,49.12,HS,31.2,S,14.8,HS,,16060012,38.85872,-115.66638999999999,['XER']
17-Feb-15,10922,FW08NV034,24-Jul-08,1,2008,CHEMW,REGULAR,P,0.0003,S,4375.31,S,50.02,S,29.83,S,10.0,HS,594.54,S,2.91,S,8.665,S,13.14,S,61.29,S,0.005,RS,0.0,RS,0.00411,RS,,,434.0,HS,8.48,HS,133.4188,HS,31.230999999999998,HS,51.06,S,111.8,S,65.79,HS,,16040108,40.91248,-117.9083,['XER']
17-Feb-15,10926,FW08NV035,17-Jun-08,1,2008,CHEMW,REGULAR,P,0.0163,S,3977.36,S,23.96,S,30.1,HS,36.0,S,574.5,S,13.83,HS,11.4,S,14.42,S,82.44,S,0.049,S,0.0,RS,0.05671,S,,,1232.0,S,9.16,HS,54.8063,S,7.789,S,50.3,HS,9.9,S,6.25,S,,16040105,40.686209999999996,-116.76246,['XER']
17-Feb-15,10927,FW08NV037,26-Jun-08,1,2008,CHEMW,REGULAR,P,0.0066,S,835.45,HS,11.87,S,0.73,S,12.0,HS,98.35,S,1.7,S,1.383,S,1.469,S,3.772,S,0.004,RS,0.0,RS,0.0053,RS,,,196.0,HS,7.86,HS,35.8325,HS,15.773,HS,3.01,S,7.8,S,4.57,HS,,17050102,41.87765,-115.62799,['XER']
17-Feb-15,10928,FW08NV038,3-Jun-08,1,2008,CHEMW,REGULAR,P,0.0015,S,3834.79,S,32.79,S,17.63,HS,75.0,S,458.7,S,12.01,S,3.431,S,12.81,HS,51.79,S,0.017,RS,0.0,RS,0.0,HRS,,,786.0,HS,8.46,S,156.95,HS,52.448,S,22.63,HS,1.7,S,1.33,RS,,16040201,41.9953,-117.7702,['XER']
