Year,HUC_CODE,HUC_NAME,Tons_N_Farm_Fert,Tons_P2O5_Farm_Fert,Tons_K2O_Farm_Fert,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,Tons_N_Recovered,Tons_P2O5_Recovered,Tons_K2O_Recovered,Tons_N_Fixed_Legumes,Tons_N_Rem,Tons_P2O5_Rem,Tons_K2O_Rem,BalanceN_Tons,BalanceP2O5_Tons,BalanceK2O_Tons,RatioN,RatioP2O5,RatioK2O,N_PPCA,P2O5_PPCA,K2O_PPCA,FarmNPPCA,FarmP2O5PPCA,FarmK2OPPCA,TotalPlantedAc,TotalHarvestedAc,TotalCropland,OtherCropAcres
2014,5110004,'' Rough '',5700.018425,3396.49806,4806.039069,3138.454002,2232.636057,2647.71901,446.4970657,521.0705649,494.593911,2694.14995,8427.615536,3037.367812,7124.64856,413.0499043,880.2008126,-1824.015579,0.953278415,0.775319619,1.344112785,4.510532463,9.611851493,-19.9183716,62.24458081,37.08998502,52.48226671,,158423.0533,183149.0662,20999.92945
2014,5110005,'' Lower Green '',18497.8887,8901.649323,11874.9383,3025.750062,2158.703288,2552.633369,799.216713,914.7838222,476.840727,8239.526909,20714.33226,7131.620897,10848.97003,6822.300064,2684.812248,1502.808998,0.75224639,0.726498188,0.878332587,43.1113596,16.96581874,9.496524413,116.8915357,56.25114718,75.03990304,,243635.538,316496.6323,130760.114
2014,5110006,'' Pond '',8130.916316,3431.702271,3854.774215,2290.145044,1637.715735,1932.05335,699.5779732,809.0789147,360.9075658,3710.594672,9276.623318,3139.333238,5338.10834,3264.465643,1101.447948,-1122.42656,0.73969839,0.740272393,1.266250305,39.893781,13.46037239,-13.71674395,99.36480584,41.93751561,47.10771535,,119145.995,163657.8716,57451.09547
2014,5120101,'' Upper Wabash '',34499.83948,12893.55299,22191.12973,13066.82842,9641.119972,9600.584712,5631.386213,7313.937788,5188.141074,34779.21607,58311.91169,19694.61155,23786.63963,16598.53007,512.8792284,3592.631174,0.778421677,0.974619351,0.868782803,45.06832631,1.392569603,9.754711616,93.67395889,35.0085731,60.25335206,,744673.6166,736594.0309,17789.01186
2014,5120102,'' Salamonie '',12799.39469,5272.336105,9459.387896,2299.400981,1594.63364,1646.577781,915.137519,1167.169874,906.4410683,11459.76471,19498.47634,6699.889984,7903.994431,5675.820578,-260.384005,2461.834533,0.774539063,1.040435401,0.762504809,46.20390234,-2.119650714,20.0405141,104.1932129,42.91934517,77.00395538,,254231.37,245685.7664,0
2014,5120103,'' Mississinewa '',14781.26325,7018.614843,12325.40995,1928.785282,1390.471176,1397.21626,693.8436896,975.4377908,762.7837,15412.28108,26368.03455,9054.778189,10224.70484,4519.353472,-1060.725555,2863.488801,0.853682886,1.132689338,0.78121589,26.36969657,-6.189162056,16.70799403,86.24628044,40.95248246,71.9167736,,347775.4138,342768.7125,1404.166329
2014,5120104,'' Eel '',18255.62585,6619.562253,11686.24217,2608.235571,1741.527084,1867.731107,617.5620671,1074.726895,1028.185974,15476.75009,26141.37252,8944.936696,10483.49714,8208.565495,-1250.647548,2230.931005,0.761031141,1.162542312,0.824535482,48.56730936,-7.399659103,13.1996652,108.0123718,39.16571391,69.14354759,,352459.3121,338028.4229,326.0465435
2014,5120105,'' Middle Wabash-Deer '',17735.69438,6739.506429,11446.35133,2103.993567,1451.1853,1506.648509,443.077586,957.9616055,829.4100039,14089.31067,24801.81023,8656.626431,9544.874099,7466.272412,-959.1583966,2730.887239,0.768617414,1.124607,0.777538259,46.28367687,-5.945855556,16.92886297,109.9441733,41.7784298,70.95632162,,325484.9558,322630.9108,0
2014,5120106,'' Tippecanoe '',54773.62585,17318.00669,35172.21746,8788.963833,6179.296678,6293.688087,3309.645888,4291.583997,3464.675292,33335.62441,63960.95824,23201.158,24595.82107,27457.93791,-1591.567306,14041.07168,0.69964702,1.07365097,0.636589004,61.52610311,-3.566288716,31.46239265,122.733461,38.80515241,78.8117988,,881923.6343,892562.2304,406.5249686
2014,5120107,'' Wildcat '',20422.32683,8121.387228,13721.8946,2883.717559,1969.831206,2065.000971,722.3037201,1442.124826,1136.783034,17105.80582,30130.89436,10521.53847,11462.79912,8119.542005,-958.0264139,3395.878509,0.787726814,1.100175167,0.771454863,42.81283741,-5.051495401,17.90583686,107.6831375,42.82256693,72.35300242,,383931.5205,379304.0824,0
2014,5120108,'' Middle Wabash-Little Vermilion '',50288.34573,18594.65575,30372.01072,3831.192372,2580.785394,2758.494606,683.3459442,1342.490816,1513.080606,37164.56945,74822.29488,26604.66541,29402.28247,13313.96625,-6667.518851,2482.808858,0.848938835,1.334426937,0.922132609,26.63203876,-13.33709408,4.966383459,100.5922013,37.19504641,60.75338872,,873551.5679,999845.8149,125611.9947
2014,5120109,'' Vermilion '',32941.33026,12046.29295,20161.669,834.9035429,569.2822452,669.2460872,143.6044575,287.3730084,342.4154334,37430.09342,67450.45352,23923.792,25085.18403,3064.574621,-11590.12604,-4581.099601,0.956540121,1.939714606,1.223423758,8.342986391,-31.55291542,-12.47156828,89.67935326,32.79478249,54.88805163,,846149.7555,734646.9184,250.298191
2014,5120110,'' Sugar '',15421.30618,7140.23694,11414.6249,2182.693586,1526.141073,1563.004796,475.9599759,983.649585,860.4341404,15693.03589,28934.43841,10113.35418,11248.46769,2655.863645,-1989.467657,1026.591359,0.915927881,1.244891118,0.916367705,13.81096539,-10.34558721,5.338458452,80.19354696,37.13050759,59.35808857,,356655.6983,384602.1723,22331.05752
