HUC_6,Year,Cattle and calves,Hogs and pigs,Sheep and lambs,Horses and ponies,Goats,Chickens
190407,2017,0,0,0,0,0,0
190408,2017,0,0,0,0,0,0
190501,2017,0,0,0,0,0,0
190502,2017,0,0,0,0,0,0
190801,2017,0,0,0,0,0,0
190803,2017,1571,681,189,295,170,2218
190804,2017,0,0,0,0,0,0
190901,2017,0,0,0,0,0,0
190902,2017,0,0,0,0,0,0
190903,2017,0,0,0,0,0,0
200100,2017,98851,2252,8580,2542,7865,10491
200200,2017,15955,0,1067,395,3933,8664
200400,2017,0,0,0,0,0,2304
200500,2017,3056,333,482,169,669,0
200600,2017,4984,3252,0,653,1460,209358
200700,2017,14010,1633,1459,471,1725,1283
200800,2017,0,0,0,0,0,0
011100,,,,,,,
020100,,,,,,,
100100,,,,,,,
160102,,,,,,,
160201,,,,,,,
