HUC_8,N_INDEX,PFOR,PWETL,PDEV,PAGT,PAGP,PAGC,PFOR90,PWETL95,Total,HUC_6
16010202,62.250943995810545,25.053178913322427,1.2579120619073785,3.0266220424642976,34.72243797456745,14.82401489083857,19.89842521608193,25.568104938076104,0.742989125994814,64.0601531246146,160102
16010203,81.13873547977295,52.37754848916796,1.1020324666881445,4.782141069022074,14.0791160482931,9.558312333775602,4.52080968794166,52.73228562539578,0.7472922325621371,72.34084404659544,160102
16010204,64.10389643701035,10.572913339553272,2.5662836229522856,3.2400639036586556,32.65604254295311,15.068925992163795,17.587124230534208,10.84199192278477,2.2972061881993655,49.035311088862215,160102
16020101,94.77103365384615,55.06477845021001,0.40472762254411476,1.4766218836110252,3.7523485857078502,3.4389175326573174,0.3134329304582206,55.219382677325626,0.2501221204845985,60.69847841948068,160201
16020102,73.29203461311891,46.12872255768511,4.715163207190325,13.073123214268389,13.634832640032895,10.303465392230645,3.331362168814931,46.93126013784023,3.912629198409049,77.5518365401894,160201
16020201,73.26796965164849,30.968491229704675,2.5126419671323794,8.906797994490004,17.825227363182684,7.89462094988221,9.930600700983057,31.441534186847576,2.039593807563123,60.21315284219233,160202
16020202,86.10242444276935,67.36762202532225,0.5554486933612381,4.333974926440269,9.563611539482618,6.596310444189241,2.967297057478183,67.6487742941872,0.2742951378458625,81.82065314679117,160202
16020203,90.36877288817598,66.06281600951999,0.40150018461008,4.6844791191813995,4.946754349748245,3.952736603912216,0.9940166751671359,66.459447555536,0.0048619239032240006,76.09554859239083,160202
16020204,58.18152446746839,28.189531563783483,2.791039873413583,32.65293503820364,9.165537150509248,4.232583551853004,4.932957712453224,28.90382415473302,2.076743747799896,72.79904773970694,160202
16020301,98.81903776280706,23.17182143102669,0.05635930114038362,0.30924904156926336,0.8717116004678761,0.7867790252188607,0.08493284197413609,23.213008330511627,0.01517182402448647,24.40914164092933,160203
16020302,99.593524551395,32.595227044819,0.018465610221049998,0.39465803764799506,0.0118139006372069,0.011555253731784901,0.0002586494898425,32.602312960564376,0.011381845036531002,33.02016459590967,160203
16020303,99.50263595581427,4.1461257144304,0.06158457596652108,0.4751097506708571,0.022252158598625706,0.017832647522600716,0.004419544354144643,4.1477921421532535,0.05991807989109535,4.705072232944523,160203
16020304,90.16037946428571,21.366196165812376,1.54082409664877,1.917802947335915,7.921821257047486,5.8787338545095045,2.0430835475618676,21.67193401886949,1.2350893300213672,32.74664061186843,160203
16020305,98.08301963806501,13.166924796161553,1.3282556088195963,0.5818365341289065,1.335154151449851,1.058684116043005,0.27647094604338507,13.257730850211633,1.2374533501459155,16.412172001196446,160203
16020306,99.20120306575664,6.0163349535612305,0.278728903966315,0.3861612750420194,0.4126388455140007,0.40852267668085573,0.004116520742711265,6.0320640277737025,0.26300002039093484,7.093864329993132,160203
16020307,99.03712502503588,10.64164527113984,0.11222770269234741,0.24166125059135896,0.7212132102782453,0.7026318935380982,0.018581220332414487,10.723050563002154,0.030822717727949492,11.716747338294061,160203
16020308,98.8346226530274,4.624924596914076,0.08488636506709477,0.3202250786037469,0.8451568972849535,0.7201652672760542,0.12499152462310852,4.677024192202079,0.032787371878716644,5.875192832484081,160203
16020309,81.83640493195003,4.344701365181468,0.5419632282333949,1.1322637506088378,17.031330714304232,5.533455986362127,11.49787751292234,4.377786915524046,0.5088760678433071,23.05026184330817,160203
16020310,96.89390182495,0.10253977065460801,4.66055488586,0.0007909500272949998,3.105332076549,2.4357270747404995,0.669603511691,0.31440383847799996,4.4486900568,7.869216192973402,160203
16030001,94.96099285747209,54.035295530816285,0.09117444762741372,2.2172095321642793,2.821800090937307,2.381573095934864,0.44022556082180575,54.111753485925576,0.014723975081437211,59.165478167364654,160300
16030002,97.00667077141352,53.697534922005396,0.13705843657170352,1.426444126947757,1.566889394644714,1.2341186363512655,0.3327697157431203,53.82952947874053,0.005071819847993784,56.82792583761925,160300
16030003,91.85626697540577,52.417288468439814,0.41614338073716467,2.105956168415846,6.037778682381994,4.341094002256993,1.6966897457554024,52.741961607573074,0.0914773322918846,60.97717176560522,160300
