HUC_CODE,Tons_N_Exc,Tons_P2O5_Exc,Tons_K2O_Exc,P_Exc,K_Exc,N_Exc
01100001,577.8796762999999,301.1400582,469.0818935,119296.80500880149,354619.9697820157,524243.65856828017
01100002,451.3024461,216.61375980000003,367.2250833,85811.66391327995,277617.5114570782,409414.71930473926
01100003,996.7218506000002,573.8703621000001,811.0425365,227339.06972384985,613137.8843885377,904210.912692191
01100004,12.16272428,8.265900032000001,9.896931517999999,3274.540990109133,7481.954866475438,11033.838593406945
01100005,553.7180126000001,273.81317,444.776879,108471.24273529083,336245.68668353267,502324.5645169285
01100006,3.671868473,0.293734643,2.970751859,116.36314557337398,2245.8507758804526,3331.0632663048104
01110000,2030.834259,857.1689217,1601.134884,339567.95493389963,1210437.691262136,1842341.9710840634
02010001,1331.829052,664.2431042999999,1047.801842,263140.2828496832,792124.9203953348,1208215.0721728099
02010002,3151.504018,1453.998402,2484.6848019999998,576002.29236624,1878390.2376378411,2858996.5422685267
02010003,609.3003664,295.8335545,480.37995559999996,117194.63055562078,363161.161620829,552748.0310325108
02010004,138.40856440000002,68.44477886,108.7780021,27114.438000503636,82234.79173290674,125562.14581350112
02010005,1228.887563,544.9230349,968.8701754000001,215871.5696205893,732453.5802468451,1114828.1180626424
02010006,223.3149838,106.9008815,175.5076204,42348.84489231493,132681.53792587496,202587.95891560623
02010007,3132.5265679999998,1347.895237,2469.722746,533969.4633182522,1867079.1128212176,2841780.4880857663
02010008,6055.264251,2819.432902,4768.39333,1116919.9446787292,3604844.9578311536,5493243.6884905845
02020001,35.68895974,20.2929288,28.04865259,8039.055264123248,21204.426075107192,32376.48180393995
02020002,113.77107209999998,53.91526724,89.41491429999999,21358.563724046267,67596.54262188553,103211.38728882407
02020003,2981.87137,1440.24245,2344.6992800000003,570552.8641723843,1772562.956155787,2705108.382419176
02020004,5420.594545,2352.450672,4260.151439,931924.6691651465,3220620.525965773,4917480.978186916
02020005,986.5236978,501.5631545,775.3282995,198694.52838535004,586138.373596873,894959.3034839536
02020006,1601.462322,864.2570775,1258.687002,342375.93187791354,951551.430143308,1452822.2762911057
02020007,770.9747581,379.9220049,600.4611672,150506.31791738234,453941.03656174877,699416.5817319968
02020008,214.3188173,139.4814027,168.43735690000003,55255.63686118731,127336.50827654595,194426.77340853703
02030101,9.323231902,105.56019669999999,7.33105443,41817.73184770749,5542.184289057221,8457.89426836949
02030102,0.261171365,0.10726364699999999,0.205416226,42.492554651076674,155.29206491713734,236.930692523252
02030103,21.21998822,14.26234132,15.77930657,5650.03461044364,11928.955895703448,19250.45076936306
02030104,3.07035494,2.261669173,2.203048247,895.9615268009478,1665.4765694542048,2785.379332172912
02030105,118.25737190000001,73.28083813,84.85230568,29030.245625675296,64147.268298208066,107281.29027562714
02030201,2.2805960780000003,1.568653708,1.792365134,621.4230569263051,1355.0053380123027,2068.922096901215
02030202,16.37101463,13.04261762,12.8663011,5166.8403742690725,9726.760658452735,14851.535632913625
02030203,0.777234323,0.440065661,0.632443414,174.3322614240842,478.1192100340894,705.0951638638903
02040101,810.1546001,351.9796333,618.5929279000001,139436.93154556063,467648.41798198,734959.9388607985
02040102,167.14913669999999,76.32124052,131.3657809,30234.70275846642,99310.86639384195,151635.15614736214
02040103,515.6509162,237.51327369999998,369.47261089999995,94091.0182091178,279316.6138539952,467790.67328271375
02040104,63.63108586,17.05503184,48.77348583,6756.360545311806,36872.13748999283,57725.15389968693
02040105,1235.1045800000002,893.263375,886.1031797,353866.7930989956,669882.7798795906,1120468.101386384
02040106,970.3648264000001,814.7232241,695.2828255,322753.06773384876,525625.0091622104,880300.2209647188
02040201,75.20897983,50.98638766,53.92528301,20198.286415746537,40766.83090197521,68228.4433252826
02040202,257.9964304,151.3795861,185.016098,59969.10896952458,139869.82655075868,234050.44011313794
02040203,7173.194681999999,4678.761939,5139.715425,1853494.1982005797,3885559.75823795,6507413.182951232
02040204,0.0,0.0,0.0,0.0,0.0,0.0
02040205,1576.225567,623.7988454,1102.427729,247118.26672682533,833421.3990394326,1429927.8757537818
02040206,948.8238208999999,619.690994,680.7888307999999,245490.9390627473,514667.7327596099,860758.5481984022
