HUC_8,P,N,K,PManure,NManure,KManure,PFert,NFert,KFert
01050002,38491.948418002015,80573.37808658973,234372.8174321838,24970.671509069376,17738.308107191177,10318.408327918636,13521.27690893264,62835.069979398555,224054.40910426516
01050003,88883.01301012114,263444.0052356611,197931.04733780888,85403.65556872709,248703.83467439513,144671.50444121743,3479.3574413940514,14740.17056126597,53259.54289659146
01050004,16.42718628628367,70.9925956489728,209.1856504590614,4.021405227292227,13.938706664746402,8.108172802504003,12.405781058991444,57.0538889842264,201.0774776565574
01060001,27354.686035755672,189588.42603798417,168995.83093378507,16414.10000292946,123662.61768770336,71934.78526310257,10940.586032826212,65925.80835028081,97061.04567068248
01060002,43317.495277444905,247819.41948712728,170478.29809941375,29484.92185005192,103258.35396957117,61219.05109239041,13832.573427392983,144561.0655175561,109259.24700702334
01060003,67315.28301757286,554746.6051411801,294936.0401764639,38483.42277844323,189103.61158488976,118398.71142130144,28831.860239129623,365642.9935562904,176537.32875516245
01070001,41158.66869829896,237088.4373270812,124665.8005413234,35480.694099350694,156022.67614461065,101860.53580939732,5677.974598948273,81065.76118247054,22805.26473192608
01070002,11561.174841025837,81319.6623950745,30778.943131621396,7368.81435010443,20699.87366817277,13514.062675351995,4192.360490921407,60619.78872690173,17264.880456269402
01070003,35296.79814958545,267283.2982538523,116039.83316745519,24197.931476621845,109017.21125148408,71172.67712368412,11098.8666729636,158266.08700236824,44867.156043771065
01070004,65924.14137174794,490063.748847219,230537.46803552465,30488.66515002869,98986.59229501688,65538.97776321393,35435.47622171926,391077.1565522021,164998.49027231074
01070005,28340.316075980572,246518.9900162492,115512.04723313756,8152.400890019054,29385.261315318545,19460.624914083768,20187.91518596152,217133.72870093066,96051.4223190538
01070006,87418.56007221452,781739.4821707908,313739.01806370966,39811.67318832118,161807.54459198305,105821.77305594909,47606.88688389334,619931.9375788077,207917.2450077606
01080101,61079.017274168786,405078.76877175766,210580.96034398171,49067.80456938012,245785.4380464324,160897.2040286983,12011.212704788672,159293.33072532527,49683.75631528341
01080102,114492.95588244603,812951.9467754632,452425.3185028431,95828.01853364227,581681.7870353239,382170.937877541,18664.93734880376,231270.1597401393,70254.3806253021
01080103,138609.14893105833,869257.8431133642,480786.4995877039,120183.90156812491,617543.0398617415,404605.2662962336,18425.2473629334,251714.80325162268,76181.23329147033
01080104,70446.33937653404,437072.58865096024,238901.06258156392,61267.45898039112,290860.3968115217,190763.47730178255,9178.880396142917,146212.19183943848,48137.58527978138
01080105,94141.5620181728,585017.6387196525,313813.2029495322,79466.16088286483,357511.6425450203,234888.82599859274,14675.401135307971,227505.99617463225,78924.37695093948
01080106,155530.89251755486,851567.4739803732,446784.19761472166,131777.54496513933,512828.7134366193,335307.1248560589,23753.347552415533,338738.760543754,111477.07275866273
01080107,90630.68689386707,571757.5167179313,306896.42158110894,73540.1822147751,339447.3422700945,222109.4655232493,17090.504679091977,232310.1744478368,84786.95605785961
01080201,174514.93215541216,1235988.2650280502,669054.1594000349,92089.85335615433,451185.9306576687,297487.7385864233,82425.07879925784,784802.3343703814,371566.4208136117
01080202,22973.978169985116,138734.72002774494,74578.66427792382,15700.359985785732,63098.950651179366,41631.614965485096,7273.618184199384,75635.76937656559,32947.049312438714
01080203,96511.92838927025,604516.2876117995,346602.39450153825,64848.76501293918,306783.5124385963,203013.8064595149,31663.16337633107,297732.7751732032,143588.5880420234
01080204,79603.16248541127,530119.3532692068,263342.35104205844,43496.954681541545,144742.04044833744,95856.57686531487,36106.20780386972,385377.31282086944,167485.77417674358
01080205,124606.86081723093,994957.2501601552,427049.23650177673,81590.07932763477,363517.85410455975,246390.30487260962,43016.781489596164,631439.3960555955,180658.9316291671
01080206,37978.53175994257,318620.7640876404,155442.17005770607,11754.996743376518,49894.783816994015,33045.17120663353,26223.535016566053,268725.9802706464,122396.99885107255
01080207,18821.134312223727,205051.4271506577,72109.80637784088,6582.974676105556,28312.739037377618,19052.42741400628,12238.159636118171,176738.68811328008,53057.378963834606
