HUC_8,P_emitted,P_uptake,P_balance,P_TES
02050103,401566.59385010495,1655429.4617762724,-1253862.8679261673,3.12242822766827
02050104,842652.2519570313,1557322.2755661802,-714670.0236091489,0.8481197575267283
02050105,720797.5069318799,64147463.28882408,-63426665.7818922,87.9951236955186
02050106,1040539.6232438014,875874.538894302,164665.08434949943,-0.1582497010889108
02050107,812427.2391286035,20947720.40162444,-20135293.162495837,24.784118740396533
02050201,341043.44335418625,16745648.258198125,-16404604.81484394,48.10121740944056
02050202,46626.38263982525,7775991.874130903,-7729365.4914910775,165.7723600648606
02050203,64906.13818443721,4519707.918712316,-4454801.780527879,68.63452217522354
02050204,418215.9395128391,1740319.6504170392,-1322103.7109042,3.161294407966036
02050205,170948.14880460023,5020532.070439772,-4849583.921635171,28.368741957998136
02050206,1205853.2014605962,3107528.558798119,-1901675.3573375228,1.5770372007422697
02050301,1898443.9742007654,9391953.594149943,-7493509.619949178,3.9471850219356117
02050302,809161.753836228,4434420.27585358,-3625258.522017352,4.480264304176559
02050303,686551.0994137651,6561654.072150185,-5875102.97273642,8.557415431645328
02050304,1729374.4498655582,5694745.474601973,-3965371.0247364147,2.2929510870503975
02050305,4302792.629051769,2528655.727188552,1774136.9018632174,-0.4123221950982551
02050306,11356411.082916379,4909444.75682237,6446966.326094009,-0.5676939905594187
02060001,0.0,7275642.7757458575,-7275642.7757458575,inf
02060002,1436354.066482248,8951428.732133044,-7515074.665650796,5.2320488666529466
02060003,612524.6756141885,17492905.736554056,-16880381.060939867,27.55869556440911
02060004,20786.99650446081,8024266.152417229,-8003479.155912768,385.0233560291046
02060005,1427092.049571435,13024387.556828527,-11597295.507257093,8.126522399686717
02060006,189211.9098017339,34216989.8370016,-34027777.92719986,179.83951413447463
02070001,3766052.6431618477,2764769.4143638983,1001283.2287979494,-0.26587074681922307
02070002,596417.062049719,914953.8378973659,-318536.7758476469,0.5340839424561813
02070003,1274927.442485822,2832762.316586865,-1557834.8741010432,1.2219008095579271
02070004,3400690.452719694,6068545.080150869,-2667854.6274311747,0.7845038131293498
02070005,9958270.25928038,16330832.23112755,-6372561.971847171,0.6399265942705671
02070006,4865618.5797687275,5779455.131405522,-913836.5516367946,0.1878150818143725
02070007,355378.20322469337,8552319.107304372,-8196940.9040796785,23.065401394066466
02070008,1447780.9650345964,4657526.718100688,-3209745.753066092,2.217010604908313
02070009,2217163.1341557913,1247218.7058165,969944.4283392914,-0.4374709345456477
02070010,637990.8955208841,949878.5444060774,-311887.6488851933,0.48885909042722997
02070011,733074.3565101919,2258175.678647115,-1525101.322136923,2.0804183212698693
02080102,364230.46361415175,10105607.951329157,-9741377.487715006,26.745092629139755
02080103,1742271.389490582,16194072.42923661,-14451801.039746027,8.294804774342044
02080104,995593.3254455994,13092765.571564807,-12097172.246119207,12.15071649933456
02080105,551558.2020502059,4755870.513247762,-4204312.311197556,7.622608630548215
02080106,1255381.140618911,1203955.1478436377,51425.99277527328,-0.040964445865356816
02080107,59744.94693310934,1903476.3703177862,-1843731.423384677,30.860039518470494
02080108,2304.239039397215,3579205.4042732194,-3576901.165233822,1552.3134119668127
02080109,3193332.908672077,3432539.739826993,-239206.83115491597,0.07490820343388134
02080110,1433757.7313151876,6806589.708580037,-5372831.9772648495,3.747377858835568
02080111,2052467.258307007,23188881.90939071,-21136414.651083704,10.298052047133865
02080201,725490.7921976643,18455200.878201496,-17729710.086003833,24.438228957113033
02080202,843249.5385470757,1421156.193136659,-577906.6545895833,0.685332903455032
02080203,1012984.0802856461,1101660.77840184,-88676.69811619387,0.08754007080860382
02080204,381367.7095480757,13024335.688389173,-12642967.978841096,33.15164777275751
02080205,536630.030219512,8268916.025381875,-7732285.995162363,14.408969978812818
02080206,654639.7687344512,12436949.82576812,-11782310.05703367,17.998158101227517
02080207,1525981.432539027,11983014.806192145,-10457033.373653118,6.852660950306602
02080208,307642.70455362875,25791860.09121402,-25484217.38666039,82.83706068582536
03010101,1749488.8241988993,1997350.3174715172,-247861.49327261792,0.14167652279008702
03010102,1251417.3337034076,8301253.935142691,-7049836.601439284,5.633481662409299
03010103,1380653.2418326596,39640.510613039674,1341012.73121962,-0.9712885832503306
03010104,862926.7484483082,77917.43066464155,785009.3177836667,-0.9097056258775723
03010105,452305.5317002669,1783811.7393777631,-1331506.2076774961,2.943820303661147
03010106,545878.2724600906,10965514.192080054,-10419635.919619964,19.087837793327356
03010107,2085517.586322114,0.0,2085517.586322114,-1.0
03010201,1256518.1850512507,4964341.274843263,-3707823.0897920127,2.9508710131726255
03010202,1099484.4708176146,120252.7286837403,979231.7421338743,-0.8906280789993185
03010203,1927233.9417788219,1390611.8114738152,536622.1303050066,-0.27844161451915306
03010204,1773493.731457992,164271.77940278174,1609221.9520552102,-0.9073739159665742
03010205,4042253.3778529735,224554.03808901343,3817699.33976396,-0.944448302197156
03020101,1808604.8533848915,14860532.114892686,-13051927.261507794,7.216572064970676
03020102,1278328.3504236182,831275.4403388975,447052.9100847207,-0.3497168078425033
03020103,2027399.137157259,12449779.719764065,-10422380.582606805,5.140764041766667
