HUC_8,AREA_ACRES,HUC_8
18060010,575138.329537,18060010
03170002,924867.260635,03170002
10200101,2105379.61785,10200101
13080001,2465005.43002,13080001
12090106,1258716.44383,12090106
03010204,1029050.09297,03010204
12060203,264247.518457,12060203
18030004,175369.949952,18030004
08020201,462690.161614,08020201
10250002,2127116.24296,10250002
05120110,516787.906246,05120110
05060002,1393104.81318,05060002
18060009,377139.538961,18060009
14070004,537709.108647,14070004
17060102,548897.205149,17060102
07010107,575457.102344,07010107
07020011,706788.449089,07020011
08010201,626039.300934,08010201
10280202,663801.786765,10280202
03140105,1100286.39863,03140105
04020103,3430696.83659,04020103
03130008,830675.280057,03130008
03040205,1329425.31875,03040205
10180006,1856829.7853,10180006
07110003,395993.983202,07110003
13010001,854731.080054,13010001
03050106,820088.796848,03050106
12100403,732261.186719,12100403
11110101,848200.363409,11110101
10130206,575623.460244,10130206
15060203,1252097.57129,15060203
03040103,761429.008028,03040103
16040204,844758.699002,16040204
16060012,3027654.68807,16060012
11120201,477518.541796,11120201
18020107,23842.4657612,18020107
11140102,435616.572609,11140102
05010002,572257.908978,05010002
05110003,650995.593385,05110003
10240012,1064117.82237,10240012
18090201,1049137.2634,18090201
11130101,840543.308118,11130101
14050002,999783.546383,14050002
16030008,490341.067649,16030008
11010013,479433.678789,11010013
18090208,2966874.98143,18090208
04070002,675313.622273,04070002
15070104,1209117.11347,15070104
17050111,485863.660534,17050111
17070307,447003.509294,17070307
10190013,703183.442381,10190013
04010301,2317904.39701,04010301
13030102,2318538.75791,13030102
05010005,800198.657063,05010005
05090102,283204.774489,05090102
03010107,838985.693338,03010107
06020004,387312.611708,06020004
11010008,1684564.58691,11010008
10080006,547958.603787,10080006
10070008,390227.972598,10070008
15080200,582345.945874,15080200
14060005,1244109.96951,14060005
12030202,2089459.30254,12030202
18020115,475908.290667,18020115
07020009,990931.48802,07020009
12030102,967258.930693,12030102
12020007,435303.259993,12020007
11020002,1475864.99319,11020002
12040203,245697.99435,12040203
02050102,1023789.47897,02050102
17060204,807791.816074,17060204
10090203,778722.297226,10090203
10050006,625519.818685,10050006
01100002,336714.570339,01100002
03100203,142280.595426,03100203
02070007,226612.517504,02070007
13010002,1647652.19716,13010002
04080101,1341897.49671,04080101
03040102,580731.664957,03040102
05130107,510039.929974,05130107
04070005,385107.521611,04070005
18010105,1204631.42128,18010105
07040005,460170.446312,07040005
17100207,89342.4266675,17100207
17110005,1054960.14181,17110005
03140201,986785.864601,03140201
11120304,568507.96431,11120304
07010202,666781.619714,07010202
10280103,1505382.54038,10280103
18010104,482143.487663,18010104
18060011,449741.752987,18060011
05090103,645233.692881,05090103
02050203,498385.007995,02050203
13040212,1716659.43622,13040212
04010101,3794573.41553,04010101
12020003,721841.355389,12020003
03150103,358843.690855,03150103
11130206,649996.397208,11130206
12100406,658582.381384,12100406
12070201,1927881.88053,12070201
03160112,803043.107715,03160112
03150102,550609.730129,03150102
18030009,81670.830488,18030009
12030104,459352.776498,12030104
04030202,2385758.33098,04030202
16050304,540151.632133,16050304
08010208,935413.520968,08010208
18020002,1702510.45682,18020002
17060209,759140.771182,17060209
10080009,735835.136458,10080009
14080202,457935.460141,14080202
17110004,508165.605214,17110004
07090004,483072.760881,07090004
10120102,316499.362636,10120102
07110007,502860.912604,07110007
05120205,375141.849574,05120205
11010010,778684.898675,11010010
13080003,2479108.38819,13080003
04030109,814868.493064,04030109
03050206,418532.520922,03050206
17110006,474580.581454,17110006
03140304,645591.720266,03140304
17030003,1896027.16424,17030003
08060205,782622.742087,08060205
17040218,1270381.16564,17040218
15020009,516480.959025,15020009
18030003,842949.365385,18030003
14050004,644285.605951,14050004
17080006,433025.968161,17080006
15050305,496081.449803,15050305
08070100,139218.599669,08070100
04030204,280468.580261,04030204
12100102,889703.347526,12100102
08010205,681715.907384,08010205
12090201,810734.479278,12090201
17050107,954411.497879,17050107
17060110,448514.033248,17060110
18020003,1706559.8718,18020003
18030001,700040.933501,18030001
11130203,709304.292568,11130203
03150203,1431538.03116,03150203
18020119,579280.906038,18020119
16060008,3399973.22928,16060008
13060005,1201960.05239,13060005
04010201,1880705.05874,04010201
10110203,1392987.3457,10110203
12030101,1257934.88855,12030101
16060015,1834387.03356,16060015
17060208,839214.866762,17060208
18030010,988688.057917,18030010
04090001,765713.757455,04090001
13040301,1689105.86561,13040301
01080105,455550.940484,01080105
12110104,1023653.61653,12110104
11110201,811442.918297,11110201
01080104,330996.435742,01080104
17100306,325577.72032,17100306
18040008,701356.552268,18040008
09030004,335472.96525,09030004
15020016,1536397.68815,15020016
16040104,641487.669243,16040104
12030103,1186233.18424,12030103
15080102,1221006.56798,15080102
13070001,2830532.03039,13070001
16060011,2067984.4118,16060011
18020111,191828.125172,18020111
11090204,1269706.92874,11090204
12080003,1693039.22758,12080003
07140204,1027043.25974,07140204
03140305,496483.177649,03140305
10130302,1120058.03496,10130302
02080103,1000972.00147,02080103
11030003,629452.547885,11030003
12090102,861782.631554,12090102
07130009,1211652.13064,07130009
10050010,575492.074656,10050010
18050002,1006565.48335,18050002
04020203,312449.383902,04020203
07120004,924824.036338,07120004
07140102,1376773.49147,07140102
07140104,623122.890115,07140104
08020202,830186.282344,08020202
08020204,1688881.6598,08020204
08030206,994685.96911,08030206
08040207,474310.96428,08040207
08040301,571813.790481,08040301
08040306,349499.646546,08040306
08050002,680043.838056,08050002
08060100,341796.306738,08060100
08060201,944651.183587,08060201
08060202,1222307.37258,08060202
08080101,1405103.53873,08080101
08080201,855512.63601,08080201
07050005,1303920.30593,07050005
07050006,561347.984666,07050006
07070005,1515985.25813,07070005
07080101,632842.365133,07080101
07080106,552872.976652,07080106
07080202,693393.438718,07080202
07080203,441894.080861,07080203
07080205,1543620.7504,07080205
07090002,515338.676847,07090002
07100002,702898.150992,07100002
07100008,1566654.23655,07100008
10180014,1469209.23337,10180014
10230001,1039783.20149,10230001
10230003,1800288.27594,10230003
10240003,726038.034582,10240003
10240007,458668.23057,10240007
10240008,773134.343601,10240008
10240013,494748.584562,10240013
10250009,896607.018286,10250009
10190002,1182441.07214,10190002
10190005,632492.302926,10190005
10190009,886542.734865,10190009
10230002,587103.89948,10230002
10240011,652785.855026,10240011
07130010,863421.576713,07130010
07130011,1456608.37673,07130011
07140101,1061433.2092,07140101
07140106,1526710.04141,07140106
07140203,589630.434027,07140203
08010207,729110.758026,08010207
08010211,177354.279107,08010211
08020203,2242611.91838,08020203
08030201,1069521.42092,08030201
08030203,480016.148625,08030203
08030205,1479117.75173,08030205
08030209,601193.990276,08030209
08040201,1163792.12602,08040201
08040202,825619.033223,08040202
08040303,591269.611033,08040303
08060204,349209.043979,08060204
08090302,2199182.53123,08090302
09020105,1475480.64305,09020105
09030006,1327965.65425,09030006
10030104,1271581.33423,10030104
10030205,1220202.06993,10030205
10060002,1352938.51022,10060002
10080001,1631629.89615,10080001
10120109,1362423.90519,10120109
08040305,53333.6326647,08040305
08050001,1850498.20775,08050001
08070202,1191240.07504,08070202
08070205,496446.917541,08070205
08080102,1418042.49129,08080102
08080202,1836710.87482,08080202
08080206,1140025.58897,08080206
08090301,1988090.6011,08090301
09010003,1442217.62206,09010003
09020204,1072869.83556,09020204
10020003,622940.873743,10020003
10020008,1164223.91415,10020008
08090201,450977.553739,08090201
09010001,1656943.05622,09010001
09010002,667868.848495,09010002
09020308,565090.780417,09020308
10020004,1792279.24179,10020004
10080003,514164.9922,10080003
10080008,1288021.39985,10080008
10080014,950284.868503,10080014
10110101,4271677.27413,10110101
10110102,603105.963786,10110102
10110201,2222428.8961,10110201
10120110,466302.521109,10120110
10120202,2081023.65417,10120202
10130204,1048627.71978,10130204
10160004,1000450.55393,10160004
10180008,1361614.02663,10180008
10180011,1494130.92834,10180011
08030100,385257.713572,08030100
08030202,646256.973429,08030202
08030208,144740.072383,08030208
08040203,1098234.77687,08040203
08040302,612863.125397,08040302
08050003,868751.549113,08050003
08070204,468695.291971,08070204
08070300,505674.139545,08070300
08080103,1725342.75746,08080103
08080203,1002648.46114,08080203
08080205,521830.307342,08080205
09020307,440041.700559,09020307
09020313,1780485.4697,09020313
10030101,2146072.49838,10030101
10120111,1005167.11421,10120111
10130103,2356322.23234,10130103
10130106,1327284.74358,10130106
10140101,2835023.93252,10140101
10140104,438193.702131,10140104
10160003,2714561.11704,10160003
10160010,762430.625935,10160010
10160011,2255277.57056,10160011
10180002,1894266.85129,10180002
10180007,2223112.18604,10180007
10180010,1474733.02105,10180010
10190001,1029260.62693,10190001
10190003,1860963.12816,10190003
10240005,1081765.20249,10240005
10260003,969168.792961,10260003
10260007,552277.911694,10260007
10260008,1207689.52991,10260008
10270101,346702.114379,10270101
10040103,1769913.37647,10040103
10040104,3377461.54045,10040104
10060001,1282121.9088,10060001
10080007,2222492.00882,10080007
10090101,1621586.24073,10090101
10130306,1522928.73083,10130306
10140102,2032840.75073,10140102
10160008,984440.754543,10160008
10170102,1429723.29661,10170102
10180004,922555.289276,10180004
07020005,1325620.68945,07020005
07030005,1680041.6673,07030005
07040001,710142.358603,07040001
06040002,756380.834143,06040002
07010103,1317062.31322,07010103
07010203,721878.162703,07010203
07010206,657476.630009,07010206
07020001,1328372.53757,07020001
07020003,698275.522536,07020003
07080206,701641.219503,07080206
07090003,1204596.01481,07090003
07100001,801608.518427,07100001
07100004,1092094.46866,07100004
07100007,727561.801857,07100007
07110005,567887.398912,07110005
07130004,745965.965532,07130004
07130006,910320.31167,07130006
07130007,745069.005526,07130007
07140105,1069777.14165,07140105
08010210,524025.357096,08010210
06020003,407302.89371,06020003
06030002,1846652.68306,06030002
06030006,600586.596245,06030006
07020004,1325918.75294,07020004
07060003,712144.23409,07060003
07060004,1087202.20876,07060004
07060006,1192896.9563,07060006
07080105,1193359.76695,07080105
07100003,839931.772947,07100003
07100006,1594515.56065,07100006
07130012,629575.682376,07130012
07140202,1091465.13169,07140202
08020100,350492.705708,08020100
08020303,872731.596121,08020303
08030204,1234443.96319,08030204
08030207,2001181.46693,08030207
08040206,1228570.35358,08040206
07100005,583312.206199,07100005
07100009,1365361.88713,07100009
04030102,2258779.40993,04030102
10050013,171397.992203,10050013
05070202,767598.313374,05070202
11090106,1801377.86315,11090106
12110105,2135373.97488,12110105
03010102,1125296.98297,03010102
11010005,860929.3194,11010005
03060201,1168595.94658,03060201
03160107,506043.590944,03160107
11090103,731155.90499,11090103
11100103,1144264.32812,11100103
17090006,666659.036348,17090006
18060003,282140.734523,18060003
15050201,1074944.69431,15050201
17050105,1182789.13508,17050105
10190012,1880915.27499,10190012
03040203,1119602.24428,03040203
17090004,843202.019221,17090004
16050103,892296.159583,16050103
04040001,1172771.67533,04040001
12110202,986610.546007,12110202
05070101,600930.347855,05070101
09020302,1264160.81531,09020302
14060008,1201884.35473,14060008
17050116,1605469.8252,17050116
10300200,1028543.62432,10300200
04130001,1654788.17657,04130001
15020015,771242.228762,15020015
10190016,863693.353006,10190016
18060012,724647.990944,18060012
18040011,235903.429074,18040011
17050122,788061.067836,17050122
14080102,430805.114545,14080102
12030201,1352915.5517,12030201
08010203,741693.488593,08010203
05030105,534606.743288,05030105
06010207,404113.610299,06010207
10060006,1629892.18939,10060006
15020017,475749.162074,15020017
16040202,2091395.33292,16040202
07010101,1267309.9128,07010101
09030002,662374.059646,09030002
17060105,605714.416546,17060105
10220001,1862320.00202,10220001
15030204,706128.812444,15030204
09020107,718543.660934,09020107
05100203,478488.264622,05100203
13060003,3107045.7996,13060003
15020013,693256.477368,15020013
10070004,1006491.61321,10070004
10030204,639430.096816,10030204
17060201,1554783.28107,17060201
11100302,1195511.0045,11100302
12090202,589570.26895,12090202
15070103,935765.692271,15070103
17010103,429082.526216,17010103
11020004,474174.338777,11020004
17050110,1336654.37236,17050110
17020014,402306.578048,17020014
17010216,705466.398756,17010216
10230004,605894.622912,10230004
17110019,1593682.58252,17110019
07020007,880728.325153,07020007
10130301,795976.709508,10130301
10020006,485517.311834,10020006
15030106,450103.205511,15030106
11020001,1960732.38695,11020001
13060007,1734717.79024,13060007
15040007,678504.850546,15040007
13020205,875214.628841,13020205
09030008,195262.494315,09030008
02070003,772021.55222,02070003
11120301,747166.842905,11120301
11120302,1061207.31141,11120302
04030104,707959.494384,04030104
12100204,668155.608834,12100204
17010102,538161.073895,17010102
17040214,641170.865626,17040214
06010203,469549.578402,06010203
13040209,646517.968542,13040209
04030107,465910.953273,04030107
16050203,1396606.97318,16050203
10210001,1161415.71609,10210001
10040202,1229635.29611,10040202
10040106,784639.869515,10040106
17060107,936717.389589,17060107
04020101,1627743.02449,04020101
17040103,1012286.66216,17040103
14020006,728040.616665,14020006
08040204,968155.536467,08040204
13060009,634544.20172,13060009
13040203,1472632.17191,13040203
10240001,536507.978616,10240001
09020102,561693.354889,09020102
13070009,636943.591632,13070009
02010003,680430.170192,02010003
10100003,832753.662257,10100003
01020001,1365943.34318,01020001
03060108,541557.988639,03060108
18040006,1087833.80907,18040006
12090401,672478.941486,12090401
18100200,5226421.31843,18100200
13050004,5081400.4859,13050004
04030112,1110006.24753,04030112
05070201,994604.117784,05070201
12010003,437416.574839,12010003
17010209,1075983.75745,17010209
17010101,1495867.15059,17010101
17010304,1180682.75706,17010304
09010005,1038642.08846,09010005
17060301,632851.772471,17060301
18020102,212873.11559,18020102
04030201,1047902.10169,04030201
13040208,2201339.38547,13040208
10080015,1257072.06519,10080015
05130202,413013.107543,05130202
18050006,754847.923158,18050006
12020001,1234016.19056,12020001
12040102,490167.312405,12040102
15060101,804053.156833,15060101
15010004,1894343.4534,15010004
12070102,849182.594093,12070102
07120006,1006983.27239,07120006
12110203,755604.491645,12110203
16040201,2259170.06592,16040201
12110108,777180.111385,12110108
07080209,1078971.37674,07080209
17080001,708438.010289,17080001
04080203,794906.882434,04080203
10120101,666751.649681,10120101
13090002,1476402.41403,13090002
10090205,611249.61267,10090205
11010011,773158.322924,11010011
05100204,691236.494103,05100204
12090101,750884.531324,12090101
18070106,456376.782138,18070106
06010206,601352.911799,06010206
07050004,543991.065365,07050004
01060002,1090164.22775,01060002
03050102,422859.357934,03050102
03140202,1004857.66795,03140202
10120103,918185.146957,10120103
18010205,390495.229597,18010205
18020106,443090.094831,18020106
12040104,714090.994097,12040104
01030002,564217.107227,01030002
17100205,459963.949552,17100205
11120101,1230987.12257,11120101
14040105,1426681.39854,14040105
12060202,1609209.29768,12060202
15060102,410791.659041,15060102
08040103,1343236.23819,08040103
12100405,974174.434697,12100405
15080303,296037.116308,15080303
13070010,492039.43788,13070010
04060104,2256998.86079,04060104
09020312,657621.974447,09020312
05110006,513738.07475,05110006
10030105,509364.35181,10030105
10050015,554257.887027,10050015
18050004,780766.586495,18050004
17020005,843033.435899,17020005
11020007,689680.154234,11020007
16050301,701782.054876,16050301
09020106,708831.403779,09020106
05140202,638373.128493,05140202
12100303,940820.378955,12100303
13040201,4321117.00185,13040201
08070201,441296.687333,08070201
04020202,530918.56175,04020202
11080007,1335733.53332,11080007
10100002,559263.105703,10100002
15050303,1022188.07039,15050303
05120206,518961.815738,05120206
16030004,555800.381437,16030004
10040105,990755.244601,10040105
06010204,671925.212734,06010204
03150101,466267.416049,03150101
18020103,737409.851499,18020103
05130205,1493205.69919,05130205
10150001,500876.224613,10150001
18070305,451102.256507,18070305
13070007,2747384.23917,13070007
15010012,1146656.32119,15010012
05010003,1082601.10476,05010003
11130103,944223.664114,11130103
18020101,271479.897334,18020101
10080002,713823.693193,10080002
03140302,382426.041007,03140302
10030102,1722229.408,10030102
13070002,499154.553361,13070002
10240010,644395.695561,10240010
05080002,891543.680394,05080002
10210009,919668.742544,10210009
10050002,746244.261953,10050002
03140106,571809.106633,03140106
17090008,488721.57811,17090008
12040201,856450.839497,12040201
11110205,497474.627813,11110205
18060014,3368497.69389,18060014
10100004,3456756.16514,10100004
12110111,856990.015202,12110111
18010111,507682.58273,18010111
14080205,1503510.3747,14080205
10190004,365452.857362,10190004
10040204,748285.347807,10040204
14020004,620386.01928,14020004
05090101,930331.849106,05090101
05020003,296642.682503,05020003
03040201,1799686.06181,03040201
03160202,618663.692427,03160202
18010102,2438052.40824,18010102
13030101,796765.764999,13030101
10080013,416303.92522,10080013
05120103,538572.743396,05120103
18090101,687716.421384,18090101
02070002,860620.81781,02070002
10270203,857314.4859,10270203
18020121,777661.561501,18020121
04090002,269912.330869,04090002
03050101,1512882.76541,03050101
04070004,599440.616353,04070004
07070004,420051.535107,07070004
13020208,1265903.22954,13020208
10060003,830432.348961,10060003
17050120,525929.148547,17050120
